seed,timestamp,model_name,dataset_path,learning_rate,weight_decay,batch_size,num_train_epochs,gradient_accumulation_steps,eval_steps,save_steps,best_metric,best_model_checkpoint,global_step,split,eval_loss,precision,recall,f1,epoch,eval_f1,eval_f1_ARTEFACT,eval_f1_BIBL,eval_f1_CONCEPT,eval_f1_ORG,eval_f1_PEOPLE,eval_f1_PERSON,eval_f1_PLACE,eval_precision,eval_precision_ARTEFACT,eval_precision_BIBL,eval_precision_CONCEPT,eval_precision_ORG,eval_precision_PEOPLE,eval_precision_PERSON,eval_precision_PLACE,eval_recall,eval_recall_ARTEFACT,eval_recall_BIBL,eval_recall_CONCEPT,eval_recall_ORG,eval_recall_PEOPLE,eval_recall_PERSON,eval_recall_PLACE,eval_runtime,eval_samples_per_second,eval_steps_per_second
43,2026-02-26T14:48:34.946086,dbmdz/bert-base-german-cased,/content/drive/MyDrive/ner_tei/hf_bert_base_cased,3e-05,0.01,16,8,2,400,400,0.5375744519072362,/content/drive/MyDrive/ner_tei/43/checkpoint-1600,1992,test,0.6717366576194763,,,,8,0.4970111016225448,0.5545361875637106,0.2716627634660422,0.4406528189910978,0.4727272727272728,0.7510204081632653,0.456140351,0.5760000000000001,0.5053545586107091,0.5450901803607214,0.3717948717948718,0.4462809917355372,0.5416666666666666,0.6865671641791045,0.5327868852459017,0.5654450261780105,0.4889386726407169,0.5643153526970954,0.2140221402214022,0.4351648351648352,0.4193548387096774,0.8288288288288288,0.3987730061349693,0.5869565217391305,6.0471,299.15,18.852
43,2026-02-26T14:48:34.946086,dbmdz/bert-base-german-cased,/content/drive/MyDrive/ner_tei/hf_bert_base_cased,3e-05,0.01,16,8,2,400,400,0.5375744519072362,/content/drive/MyDrive/ner_tei/43/checkpoint-1600,1992,validation,0.6680243015289307,,,,8,0.5370300037979491,0.5837018319646241,0.2912621359223301,0.4708086169216359,0.5255474452554744,0.7301587301587302,0.5910165484633569,0.711864407,0.5666577611541544,0.604316547,0.4245283018867924,0.4892926670992862,0.6206896551724138,0.7752808988764045,0.6793478260869565,0.711864407,0.5103464870067372,0.5644471594379963,0.2216748768472906,0.4536702767749699,0.4556962025316455,0.69,0.5230125523012552,0.711864407,4.7632,318.9,19.944
42,2026-02-26T20:40:52.246858,dbmdz/bert-base-german-uncased,/content/drive/MyDrive/ner_tei/hf_bert_base_uncased,1e-05,0.01,16,8,2,400,400,0.4817320703653585,/content/drive/MyDrive/ner_tei/42/checkpoint-1600,1984,test,0.6791802644729614,,,,8,0.4364471669218989,0.5000000000000001,0.042553191,0.3699273814609142,0.2285714285714286,0.6995073891625616,0.389261745,0.555858311,0.4799595823509599,0.4807938540332906,0.4,0.4450154162384378,1,0.7634408602150538,0.4202898550724637,0.5543478260869565,0.4001684919966302,0.5208044382801664,0.02247191,0.3165204678362573,0.1290322580645161,0.6454545454545455,0.3625,0.5573770491803278,5.6164,321.025,20.12
42,2026-02-26T20:40:52.246858,dbmdz/bert-base-german-uncased,/content/drive/MyDrive/ner_tei/hf_bert_base_uncased,1e-05,0.01,16,8,2,400,400,0.4817320703653585,/content/drive/MyDrive/ner_tei/42/checkpoint-1600,1984,validation,0.7246914505958557,,,,8,0.4817320703653585,0.5559385772485115,0.046728972,0.399155227,0.159090909,0.5599999999999999,0.5462962962962962,0.64978903,0.5521091811414393,0.572258065,0.4545454545454545,0.4805084745762711,0.875,0.84,0.6243386243386243,0.652542373,0.4272683629380701,0.5405240706886045,0.024630542,0.341360626,0.0875,0.42,0.485596708,0.6470588235294118,4.6698,324.85,20.343
42,2026-03-02T11:15:47.554330,dbmdz/bert-base-german-uncased,/content/drive/MyDrive/ner_tei/hf_bert_base_uncased,2e-05,0.01,16,8,2,400,400,0.5325961167545326,/content/drive/MyDrive/ner_tei/42/checkpoint-1600,1984,test,0.6880733370780945,,,,8,0.4909716251074807,0.5426052889324191,0.1712707182320442,0.4432432432432432,0.4583333333333333,0.7914893617021277,0.4452054794520548,0.5567010309278351,0.5013169446883231,0.512646514,0.3263157894736842,0.469721768,0.6470588235294118,0.744,0.4924242424242424,0.526829268,0.48104465,0.5762829403606102,0.1161048689138576,0.4195906432748538,0.3548387096774194,0.8454545454545455,0.40625,0.5901639344262295,6.1453,293.393,18.388
42,2026-03-02T11:15:47.554330,dbmdz/bert-base-german-uncased,/content/drive/MyDrive/ner_tei/hf_bert_base_uncased,2e-05,0.01,16,8,2,400,400,0.5325961167545326,/content/drive/MyDrive/ner_tei/42/checkpoint-1600,1984,validation,0.6962987184524536,,,,8,0.5334703841706283,0.5942786834820056,0.2037735849056604,0.4518883415435139,0.4285714285714286,0.7222222222222223,0.611111111,0.7066115702479339,0.5739563173901023,0.6,0.4354838709677419,0.4971098265895953,0.5869565217391305,0.8125,0.6984126984126984,0.6951219512195121,0.4983197311569851,0.5886654478976234,0.1330049261083744,0.4142083082480433,0.3375,0.65,0.5432098765432098,0.7184873949579832,4.7355,320.347,20.061
42,2026-03-02T11:34:02.039800,dbmdz/bert-base-german-uncased,/content/drive/MyDrive/ner_tei/hf_bert_base_uncased,3e-05,0.01,16,8,2,400,400,0.5485944787596118,/content/drive/MyDrive/ner_tei/42/checkpoint-1600,1984,test,0.6686637997627258,,,,8,0.5009004017176893,0.5578673602080624,0.2188295165394402,0.4475574712643678,0.4347826086956521,0.7594936708860759,0.4733333333333333,0.5900783289817232,0.4942591580098414,0.5250917992656059,0.3412698412698413,0.4399717514124294,0.6666666666666666,0.7086614173228346,0.5071428571428571,0.565,0.50772255,0.595006935,0.1610486891385767,0.4554093567251462,0.3225806451612903,0.8181818181818182,0.44375,0.6174863387978142,6.0195,299.527,18.772
42,2026-03-02T11:34:02.039800,dbmdz/bert-base-german-uncased,/content/drive/MyDrive/ner_tei/hf_bert_base_uncased,3e-05,0.01,16,8,2,400,400,0.5485944787596118,/content/drive/MyDrive/ner_tei/42/checkpoint-1600,1984,validation,0.6881030201911926,,,,8,0.5477482023464111,0.6029684601113173,0.2635135135135135,0.4744687599111957,0.4962406015037593,0.7195767195767195,0.5995423340961098,0.7298969072164948,0.5772400957192236,0.6120527306967984,0.4193548387096774,0.5013404825737265,0.6226415094339622,0.7640449438202247,0.6752577319587629,0.7165991902834008,0.5211233797407585,0.5941499085923218,0.1921182266009852,0.4503311258278146,0.4125,0.68,0.5390946502057613,0.7436974789915967,4.7344,320.422,20.066
43,2026-03-02T11:53:17.308050,dbmdz/bert-base-german-uncased,/content/drive/MyDrive/ner_tei/hf_bert_base_uncased,1e-05,0.01,16,8,2,400,400,0.4841845816787621,/content/drive/MyDrive/ner_tei/43/checkpoint-1600,1984,test,0.6624618172645569,,,,8,0.4389408099688474,0.5117565698478562,0.041666667,0.3585623678646934,0.2105263157894737,0.7685185185185186,0.3878326996197718,0.5642458100558659,0.4928296607205316,0.5103448275862069,0.2857142857142857,0.4252758274824473,0.5714285714285714,0.7830188679245284,0.4951456310679611,0.5771428571428572,0.3956753720864925,0.5131761442441054,0.02247191,0.3099415204678362,0.1290322580645161,0.7545454545454545,0.31875,0.5519125683060109,6.0368,298.666,18.718
43,2026-03-02T11:53:17.308050,dbmdz/bert-base-german-uncased,/content/drive/MyDrive/ner_tei/hf_bert_base_uncased,1e-05,0.01,16,8,2,400,400,0.4841845816787621,/content/drive/MyDrive/ner_tei/43/checkpoint-1600,1984,validation,0.7109706401824951,,,,8,0.4844413982179574,0.5573135292218275,0.082568807,0.3939712583245706,0.1935483870967742,0.6419753086419753,0.5525672371638142,0.6868250539956803,0.5647171620325983,0.5927197802197802,0.6,0.4714765100671141,0.6923076923076923,0.8387096774193549,0.6807228915662651,0.7066666666666667,0.4241478636581853,0.5258988421694089,0.044334975,0.3383503913305238,0.1125,0.52,0.4650205761316872,0.6680672268907563,4.8622,311.999,19.538
43,2026-03-02T12:03:54.402835,dbmdz/bert-base-german-uncased,/content/drive/MyDrive/ner_tei/hf_bert_base_uncased,2e-05,0.01,16,8,2,400,400,0.5305857957490928,/content/drive/MyDrive/ner_tei/43/checkpoint-1600,1984,test,0.6356234550476074,,,,8,0.4837114601512507,0.5494355114608279,0.1889763779527559,0.4212121212121212,0.3846153846153846,0.7811158798283262,0.4306569343065694,0.579088472,0.501659125,0.5422012153950033,0.3157894736842105,0.4371069182389937,0.4761904761904761,0.7398373983739838,0.5175438596491229,0.5684210526315789,0.467003651,0.5568654646324549,0.1348314606741573,0.4064327485380117,0.3225806451612903,0.8272727272727273,0.36875,0.5901639344262295,6.2962,286.364,17.947
43,2026-03-02T12:03:54.402835,dbmdz/bert-base-german-uncased,/content/drive/MyDrive/ner_tei/hf_bert_base_uncased,2e-05,0.01,16,8,2,400,400,0.5305857957490928,/content/drive/MyDrive/ner_tei/43/checkpoint-1600,1984,validation,0.6861404776573181,,,,8,0.5305383022774328,0.5876716703928457,0.2323943661971831,0.4480414373583684,0.4776119402985075,0.7379679144385026,0.5882352941176471,0.7489539748953975,0.5755193711398091,0.6174496644295302,0.4074074074074074,0.484593838,0.5925925925925926,0.7931034482758621,0.6868131868131868,0.7458333333333333,0.4920787325972156,0.5606337599024985,0.1625615763546798,0.4166164960866947,0.4,0.69,0.514403292,0.7521008403361344,4.7855,317.001,19.852
43,2026-03-02T12:11:09.913190,dbmdz/bert-base-german-uncased,/content/drive/MyDrive/ner_tei/hf_bert_base_uncased,3e-05,0.01,16,8,2,400,400,0.5391639871382636,/content/drive/MyDrive/ner_tei/43/checkpoint-1600,1984,test,0.6300866007804871,,,,8,0.4975651675737611,0.5708390646492434,0.2281553398058252,0.4306326304106548,0.3793103448275862,0.7679324894514767,0.4555160142348755,0.5848563968668408,0.507746273,0.5661664392905866,0.3241379310344827,0.4359550561797752,0.4074074074074074,0.7165354330708661,0.5289256198347108,0.56,0.4877843302443134,0.5755894590846047,0.1760299625468165,0.425438596,0.3548387096774194,0.8272727272727273,0.4,0.6120218579234973,5.8282,309.359,19.389
43,2026-03-02T12:11:09.913190,dbmdz/bert-base-german-uncased,/content/drive/MyDrive/ner_tei/hf_bert_base_uncased,3e-05,0.01,16,8,2,400,400,0.5391639871382636,/content/drive/MyDrive/ner_tei/43/checkpoint-1600,1984,validation,0.6913864016532898,,,,8,0.5391147709727226,0.5956620265458077,0.2466666666666666,0.4617834394904458,0.4962406015037593,0.711340206,0.6041189931350115,0.7473903966597077,0.5809761508596784,0.6353591160220995,0.3814432989690721,0.4901960784313725,0.6226415094339622,0.7340425531914894,0.6804123711340206,0.7427385892116183,0.5028804608737398,0.5606337599024985,0.1822660098522167,0.4364840457555689,0.4125,0.69,0.5432098765432098,0.7521008403361344,4.8231,314.529,19.697
42,2026-02-26T15:01:08.957471,deepset/gbert-base,/content/drive/MyDrive/ner_tei/hf_gbert_base,1e-05,0.01,16,8,2,400,400,0.4856601731601731,/content/drive/MyDrive/ner_tei/42/checkpoint-1600,1992,test,0.6709668636322021,,,,8,0.4372531145548465,0.5118136439267886,0.079470199,0.3448275862068965,0.1951219512195122,0.7478260869565216,0.4275862068965517,0.5714285714285715,0.4779143141813351,0.4932649134060295,0.3870967741935484,0.4047384007897334,0.4,0.7226890756302521,0.4881889763779528,0.631578947,0.4029683562027443,0.5318118948824343,0.044280443,0.3003663003663003,0.1290322580645161,0.7747747747747747,0.3803680981595092,0.5217391304347826,5.686,318.15,20.049
42,2026-02-26T15:01:08.957471,deepset/gbert-base,/content/drive/MyDrive/ner_tei/hf_gbert_base,1e-05,0.01,16,8,2,400,400,0.4856601731601731,/content/drive/MyDrive/ner_tei/42/checkpoint-1600,1992,validation,0.7175308465957642,,,,8,0.4863476615301433,0.5620873939012888,0.098214286,0.3941299790356394,0.2417582417582417,0.6936416184971099,0.5217391304347826,0.6666666666666666,0.5549043800123381,0.5790155440414507,0.5238095238095238,0.47,0.9166666666666666,0.821917808,0.6171428571428571,0.695852535,0.4328681424446583,0.5461209529627367,0.054187192,0.3393501805054151,0.1392405063291139,0.6,0.4518828451882845,0.6398305084745762,4.7164,322.07,20.143
42,2026-02-26T15:12:06.392309,deepset/gbert-base,/content/drive/MyDrive/ner_tei/hf_gbert_base,2e-05,0.01,16,8,2,400,400,0.5169513797634692,/content/drive/MyDrive/ner_tei/42/checkpoint-1600,1992,test,0.6649791598320007,,,,8,0.4708500222518914,0.5338809034907598,0.2383419689119171,0.3936,0.4137931034482758,0.7606837606837608,0.4482758620689655,0.586894587,0.5006309148264985,0.5284552845528455,0.4,0.4334801762114537,0.4444444444444444,0.7235772357723578,0.5118110236220472,0.6167664670658682,0.4444133295995519,0.5394190871369294,0.1697416974169741,0.3604395604395604,0.3870967741935484,0.8018018018018018,0.3987730061349693,0.5597826086956522,6.3254,285.991,18.023
42,2026-02-26T15:12:06.392309,deepset/gbert-base,/content/drive/MyDrive/ner_tei/hf_gbert_base,2e-05,0.01,16,8,2,400,400,0.5169513797634692,/content/drive/MyDrive/ner_tei/42/checkpoint-1600,1992,validation,0.711548388,,,,8,0.5170693277310924,0.582908163,0.302405498,0.420033389,0.5112781954887219,0.7374301675977653,0.5767441860465117,0.6991150442477877,0.5690751445086705,0.609739827,0.5,0.4718679669917479,0.6296296296296297,0.8354430379746836,0.6492146596858639,0.7314814814814815,0.4737728585178056,0.5583384239462431,0.2167487684729064,0.378459687,0.430379747,0.66,0.5188284518828452,0.6694915254237288,4.8625,312.39,19.537
42,2026-02-26T15:26:31.826051,deepset/gbert-base,/content/drive/MyDrive/ner_tei/hf_gbert_base,3e-05,0.01,16,8,2,400,400,0.5237717908082408,/content/drive/MyDrive/ner_tei/42/checkpoint-1200,1992,test,0.6661579012870789,,,,8,0.4792543595911004,0.5355113636363636,0.2939759036144578,0.4072289156626506,0.4285714285714285,0.7521367521367521,0.4657534246575342,0.5959885386819485,0.5173644920480364,0.5503649635036496,0.4236111111111111,0.4506666666666666,0.48,0.7154471544715447,0.5271317829457365,0.6303030303030303,0.4463735648277793,0.5214384508990318,0.2250922509225092,0.3714285714285714,0.3870967741935484,0.7927927927927928,0.4171779141104294,0.5652173913043478,5.9088,306.151,19.293
42,2026-02-26T15:26:31.826051,deepset/gbert-base,/content/drive/MyDrive/ner_tei/hf_gbert_base,3e-05,0.01,16,8,2,400,400,0.5237717908082408,/content/drive/MyDrive/ner_tei/42/checkpoint-1200,1992,validation,0.7195955514907837,,,,8,0.5245512143611404,0.5809399477806789,0.3344262295081967,0.4374999999999999,0.5223880597014925,0.7362637362637363,0.5931034482758621,0.7008928571428571,0.5809941520467836,0.6236860546601262,0.5,0.4888558692421991,0.6363636363636364,0.8170731707317073,0.6581632653061225,0.7405660377358491,0.4781039461020211,0.5436774587660355,0.2512315270935961,0.3959085439229843,0.4430379746835443,0.67,0.5397489539748954,0.6652542372881356,4.7923,316.967,19.823
43,2026-02-26T15:37:03.441751,deepset/gbert-base,/content/drive/MyDrive/ner_tei/hf_gbert_base,1e-05,0.01,16,8,2,400,400,0.5047619047619047,/content/drive/MyDrive/ner_tei/43/checkpoint-1600,1992,test,0.6131545305252075,,,,8,0.4480716452405027,0.5184472248957331,0.1042345276872964,0.3644752018454441,0.3,0.7627118644067797,0.3971119133574007,0.5913043478260869,0.462708831,0.4835427887492519,0.4444444444444444,0.3834951456310679,0.6666666666666666,0.72,0.4824561403508772,0.6335403726708074,0.4343321198543825,0.5587828492392808,0.05904059,0.3472527472527472,0.1935483870967742,0.8108108108108109,0.3374233128834356,0.5543478260869565,6.0826,297.407,18.742
43,2026-02-26T15:37:03.441751,deepset/gbert-base,/content/drive/MyDrive/ner_tei/hf_gbert_base,1e-05,0.01,16,8,2,400,400,0.5047619047619047,/content/drive/MyDrive/ner_tei/43/checkpoint-1600,1992,validation,0.6722208261489868,,,,8,0.5041822159310256,0.5850837138508372,0.1298701298701298,0.4150462225055786,0.3137254901960784,0.7045454545454546,0.5124378109452736,0.6894977168949771,0.541908714,0.5831310679611651,0.5357142857142857,0.4413559322033898,0.6956521739130435,0.8157894736842105,0.6319018404907976,0.7475247524752475,0.4713666987487969,0.5870494807574832,0.073891626,0.3916967509025271,0.2025316455696202,0.62,0.4309623430962343,0.6398305084745762,4.944,307.244,19.215
43,2026-02-26T15:44:57.672387,deepset/gbert-base,/content/drive/MyDrive/ner_tei/hf_gbert_base,2e-05,0.01,16,8,2,400,400,0.5296052631578947,/content/drive/MyDrive/ner_tei/43/checkpoint-1600,1992,test,0.5947195291519165,,,,8,0.4862319874447139,0.5449664429530201,0.2821782178217822,0.4138702460850111,0.2857142857142857,0.7679324894514767,0.4668989547038327,0.6280991735537189,0.4956369982547993,0.529335072,0.4285714285714285,0.4214123006833713,0.32,0.7222222222222222,0.5403225806451613,0.6368715083798883,0.4771772612713525,0.5615491009681881,0.2103321033210332,0.4065934065934066,0.2580645161290322,0.8198198198198198,0.4110429447852761,0.6195652173913043,5.912,305.99,19.283
43,2026-02-26T15:44:57.672387,deepset/gbert-base,/content/drive/MyDrive/ner_tei/hf_gbert_base,2e-05,0.01,16,8,2,400,400,0.5296052631578947,/content/drive/MyDrive/ner_tei/43/checkpoint-1600,1992,validation,0.6872565150260925,,,,8,0.5294490183660545,0.6080150281778335,0.2828947368421052,0.4321796071094481,0.5797101449275363,0.7111111111111111,0.5734939759036144,0.7002188183807438,0.5589729874297941,0.6236351958895312,0.4257425742574257,0.4485436893203883,0.6779661016949152,0.8,0.6761363636363636,0.7239819004524887,0.5028873917228104,0.5931582162492364,0.2118226600985221,0.4169675090252707,0.5063291139240507,0.64,0.49790795,0.6779661016949152,5.0996,297.864,18.629
43,2026-02-26T17:11:32.953489,deepset/gbert-base,/content/drive/MyDrive/ner_tei/hf_gbert_base,3e-05,0.01,16,8,2,400,400,0.5337802991232594,/content/drive/MyDrive/ner_tei/43/checkpoint-1600,1992,test,0.6163932681083679,,,,8,0.4934654602901048,0.5481886534518114,0.3198198198198199,0.421092564,0.40625,0.7457627118644067,0.4913494809688581,0.6413043478260869,0.5064858490566038,0.5418918918918919,0.4104046242774566,0.4366640440597954,0.3939393939393939,0.704,0.5634920634920635,0.6413043478260869,0.4810977317278073,0.5546334716459198,0.2619926199261992,0.4065934065934066,0.4193548387096774,0.7927927927927928,0.4355828220858895,0.6413043478260869,6.3691,284.026,17.899
43,2026-02-26T17:11:32.953489,deepset/gbert-base,/content/drive/MyDrive/ner_tei/hf_gbert_base,3e-05,0.01,16,8,2,400,400,0.5337802991232594,/content/drive/MyDrive/ner_tei/43/checkpoint-1600,1992,validation,0.689016581,,,,8,0.5336941115835588,0.6033876637903484,0.3012820512820512,0.438382542,0.5547445255474452,0.7292817679558011,0.5857142857142856,0.7296137339055793,0.5744798890429959,0.6327077747989276,0.4311926605504587,0.4697386519944979,0.6551724137931034,0.8148148148148148,0.6795580110497238,0.7391304347826086,0.4983156881616939,0.5766646304215027,0.2315270935960591,0.4109506618531889,0.4810126582278481,0.66,0.5146443514644351,0.7203389830508474,5.0168,302.784,18.936
42,2026-02-26T17:32:14.778678,xlm-roberta-base,/content/drive/MyDrive/ner_tei/hf_roberta_base,1e-05,0.01,16,8,2,400,400,0.4879115226337449,/content/drive/MyDrive/ner_tei/42/checkpoint-2000,2000,test,0.6298176646232605,,,,8,0.4497247174731961,0.5238393977415308,0,0.3701375245579568,0,0.6963562753036436,0.4545454545454545,0.5604719764011801,0.4677516576250753,0.4826589595375722,0,0.401877133,0,0.6323529411764706,0.52,0.6129032258064516,0.4330357142857143,0.5727023319615913,0,0.3430444282592862,0,0.7747747747747747,0.4037267080745341,0.5163043478260869,6.236,291.212,18.281
